15.6575 	INFO 	FIRST SOUND VOL: 0.09375
16.4579 	INFO 	SECOND SOUND VOL: 0.5
16.5113 	DATA 	Keypress: right
18.3174 	INFO 	FIRST SOUND VOL: 0.8984375
19.1178 	INFO 	SECOND SOUND VOL: 0.5
19.1699 	DATA 	Keypress: left
20.9757 	INFO 	FIRST SOUND VOL: 0.5
21.7762 	INFO 	SECOND SOUND VOL: 0.8984375
22.5297 	DATA 	Keypress: right
24.3355 	INFO 	FIRST SOUND VOL: 0.5
25.1360 	INFO 	SECOND SOUND VOL: 0.09375
25.3211 	DATA 	Keypress: left
27.1272 	INFO 	FIRST SOUND VOL: 0.09375
27.9277 	INFO 	SECOND SOUND VOL: 0.5
28.0440 	DATA 	Keypress: right
29.8514 	INFO 	FIRST SOUND VOL: 0.5
30.6519 	INFO 	SECOND SOUND VOL: 0.8984375
30.9216 	DATA 	Keypress: right
32.7295 	INFO 	FIRST SOUND VOL: 0.8984375
33.5300 	INFO 	SECOND SOUND VOL: 0.5
33.6884 	DATA 	Keypress: left
35.4966 	INFO 	FIRST SOUND VOL: 0.8984375
36.2970 	INFO 	SECOND SOUND VOL: 0.5
36.5673 	DATA 	Keypress: left
38.3746 	INFO 	FIRST SOUND VOL: 0.8984375
39.1751 	INFO 	SECOND SOUND VOL: 0.5
39.3141 	DATA 	Keypress: left
41.1230 	INFO 	FIRST SOUND VOL: 0.8984375
41.9235 	INFO 	SECOND SOUND VOL: 0.5
42.0785 	DATA 	Keypress: left
43.8861 	INFO 	FIRST SOUND VOL: 0.8984375
44.6865 	INFO 	SECOND SOUND VOL: 0.5
44.9384 	DATA 	Keypress: left
46.7467 	INFO 	FIRST SOUND VOL: 0.8984375
47.5472 	INFO 	SECOND SOUND VOL: 0.5
47.9153 	DATA 	Keypress: left
49.7233 	INFO 	FIRST SOUND VOL: 0.8984375
50.5238 	INFO 	SECOND SOUND VOL: 0.5
50.6667 	DATA 	Keypress: left
52.4750 	INFO 	FIRST SOUND VOL: 0.5
53.2755 	INFO 	SECOND SOUND VOL: 0.8984375
53.4934 	DATA 	Keypress: right
